lon,lat,mask
-123.64,17.19,0
-122.90,17.34,0
-122.15,17.48,0
-121.41,17.63,0
-120.66,17.76,0
-119.91,17.90,0
-119.16,18.03,0
-118.41,18.16,0
-117.66,18.28,0
-116.90,18.40,0
-116.15,18.51,0
-115.39,18.62,0
-114.63,18.73,0
-113.87,18.83,0
-113.11,18.93,0
-112.35,19.03,0
-111.59,19.12,0
-110.82,19.20,0
-110.06,19.29,0
-109.29,19.37,0
-108.52,19.44,0
-107.76,19.51,0
-106.99,19.58,0
-106.22,19.64,0
-105.45,19.70,0
-104.68,19.75,0
-103.90,19.80,0
-103.13,19.85,0
-102.36,19.89,0
-101.59,19.93,0
-100.81,19.96,0
-100.04,19.99,0
-99.26,20.01,0
-98.49,20.03,0
-97.71,20.05,0
-96.94,20.06,0
-96.16,20.07,0
-95.39,20.08,0
-94.61,20.08,0
-93.84,20.07,0
-93.06,20.06,0
-92.29,20.05,0
-91.51,20.03,0
-90.74,20.01,0
-89.96,19.99,0
-89.19,19.96,0
-88.42,19.93,0
-87.64,19.89,0
-86.87,19.85,0
-86.10,19.80,0
-85.33,19.75,0
-84.55,19.70,0
-83.78,19.64,0
-83.01,19.58,0
-82.25,19.51,0
-81.48,19.44,0
-80.71,19.37,0
-79.94,19.29,0
-79.18,19.20,0
-78.41,19.12,0
-77.65,19.03,0
-76.89,18.93,0
-76.13,18.83,0
-75.37,18.73,0
-74.61,18.62,0
-73.85,18.51,0
-73.10,18.40,0
-72.34,18.28,0
-71.59,18.16,0
-70.84,18.03,0
-70.09,17.90,0
-69.34,17.76,0
-68.59,17.63,0
-67.85,17.48,0
-67.10,17.34,0
-66.36,17.19,0
-65.62,17.03,0
-64.88,16.88,0
-134.04,15.39,0
-133.32,15.59,0
-132.60,15.79,0
-131.88,15.99,0
-131.16,16.18,0
-130.43,16.37,0
-129.70,16.55,0
-128.97,16.73,0
-128.24,16.91,0
-127.50,17.08,0
-126.77,17.25,0
-126.03,17.42,0
-125.29,17.58,0
-124.54,17.74,0
-123.80,17.90,0
-123.05,18.05,0
-122.31,18.19,0
-121.56,18.34,0
-120.81,18.48,0
-120.05,18.61,0
-119.30,18.74,0
-118.54,18.87,0
-117.79,19.00,0
-117.03,19.11,0
-116.27,19.23,0
-115.51,19.34,0
-114.74,19.45,0
-113.98,19.55,0
-113.21,19.65,0
-112.45,19.75,0
-111.68,19.84,0
-110.91,19.93,0
-110.14,20.01,0
-109.37,20.09,0
-108.60,20.16,0
-107.83,20.23,0
-107.05,20.30,0
-106.28,20.36,0
-105.51,20.42,0
-104.73,20.48,0
-103.95,20.53,0
-103.18,20.57,0
-102.40,20.62,0
-101.62,20.65,0
-100.85,20.69,0
-100.07,20.72,0
-99.29,20.74,0
-98.51,20.76,0
-97.73,20.78,0
-96.95,20.79,0
-96.17,20.80,0
-95.39,20.80,0
-94.61,20.80,0
-93.83,20.80,0
-93.05,20.79,0
-92.27,20.78,0
-91.49,20.76,0
-90.71,20.74,0
-89.93,20.72,0
-89.16,20.69,0
-88.38,20.65,0
-87.60,20.62,0
-86.82,20.57,0
-86.05,20.53,0
-85.27,20.48,0
-84.50,20.42,0
-83.72,20.36,0
-82.95,20.30,0
-82.17,20.24,0
-81.40,20.16,0
-80.63,20.09,0
-79.86,20.01,0
-79.09,19.93,0
-78.32,19.84,0
-77.55,19.75,0
-76.79,19.65,0
-76.02,19.55,0
-75.26,19.45,0
-74.49,19.34,0
-73.73,19.23,0
-72.97,19.11,0
-72.21,19.00,0
-71.46,18.87,0
-70.70,18.74,0
-69.95,18.61,0
-69.20,18.48,0
-68.44,18.34,0
-67.69,18.19,0
-66.95,18.05,0
-66.20,17.90,0
-65.46,17.74,0
-64.71,17.58,0
-134.26,16.08,0
-133.53,16.28,0
-132.81,16.48,0
-132.08,16.68,0
-131.36,16.88,0
-130.63,17.07,0
-129.89,17.25,0
-129.16,17.43,0
-128.42,17.61,0
-127.68,17.79,0
-126.94,17.96,0
-126.20,18.13,0
-125.46,18.29,0
-124.71,18.45,0
-123.96,18.61,0
-123.21,18.76,0
-122.46,18.91,0
-121.71,19.05,0
-120.95,19.19,0
-120.20,19.33,0
-119.44,19.46,0
-118.68,19.59,0
-117.92,19.71,0
-117.15,19.83,0
-116.39,19.95,0
-115.62,20.06,0
-114.86,20.17,0
-114.09,20.27,0
-113.32,20.37,0
-112.55,20.47,0
-111.78,20.56,0
-111.00,20.65,0
-110.23,20.73,0
-109.45,20.81,0
-108.68,20.89,0
-107.90,20.96,0
-107.12,21.03,0
-106.35,21.09,0
-105.57,21.15,0
-104.79,21.20,0
-104.01,21.25,0
-103.23,21.30,0
-102.44,21.34,0
-101.66,21.38,0
-100.88,21.41,0
-100.10,21.44,0
-99.31,21.47,0
-98.53,21.49,0
-97.75,21.51,0
-96.96,21.52,0
-96.18,21.53,0
-95.39,21.53,0
-94.61,21.53,0
-93.82,21.53,0
-93.04,21.52,0
-92.26,21.51,0
-91.47,21.49,0
-90.69,21.47,0
-89.91,21.44,0
-89.12,21.41,0
-88.34,21.38,0
-87.56,21.34,0
-86.78,21.30,0
-85.99,21.25,0
-85.21,21.20,0
-84.43,21.15,0
-83.66,21.09,0
-82.88,21.03,0
-82.10,20.96,0
-81.32,20.89,0
-80.55,20.81,0
-79.77,20.73,0
-79.00,20.65,0
-78.23,20.56,0
-77.45,20.47,0
-76.68,20.37,0
-75.91,20.27,0
-75.15,20.17,0
-74.38,20.06,0
-73.61,19.95,0
-72.85,19.83,0
-72.09,19.71,0
-71.32,19.59,0
-70.56,19.46,0
-69.81,19.33,0
-69.05,19.19,0
-68.29,19.05,0
-67.54,18.91,0
-66.79,18.76,0
-66.04,18.61,0
-65.29,18.45,0
-64.54,18.29,0
-134.47,16.77,0
-133.75,16.98,0
-133.02,17.18,0
-132.29,17.38,0
-131.56,17.57,0
-130.82,17.76,0
-130.09,17.95,0
-129.35,18.14,0
-128.61,18.32,0
-127.87,18.49,0
-127.12,18.66,0
-126.38,18.83,0
-125.63,19.00,0
-124.88,19.16,0
-124.13,19.32,0
-123.37,19.47,0
-122.62,19.62,0
-121.86,19.76,0
-121.10,19.90,0
-120.34,20.04,0
-119.58,20.18,0
-118.81,20.30,0
-118.05,20.43,0
-117.28,20.55,0
-116.51,20.67,0
-115.74,20.78,0
-114.97,20.89,0
-114.20,21.00,0
-113.42,21.10,0
-112.65,21.19,0
-111.87,21.29,0
-111.10,21.37,0
-110.32,21.46,0
-109.54,21.54,0
-108.76,21.61,0
-107.98,21.69,0
-107.19,21.75,0
-106.41,21.82,0
-105.63,21.88,0
-104.84,21.93,0
-104.06,21.98,0
-103.27,22.03,0
-102.49,22.07,0
-101.70,22.11,0
-100.91,22.14,0
-100.13,22.17,0
-99.34,22.20,0
-98.55,22.22,0
-97.76,22.24,0
-96.97,22.25,0
-96.18,22.26,0
-95.40,22.26,0
-94.61,22.26,0
-93.82,22.26,0
-93.03,22.25,0
-92.24,22.24,0
-91.45,22.22,0
-90.66,22.20,0
-89.88,22.17,0
-89.09,22.14,0
-88.30,22.11,0
-87.51,22.07,0
-86.73,22.03,0
-85.94,21.98,0
-85.16,21.93,0
-84.37,21.88,0
-83.59,21.82,0
-82.81,21.75,0
-82.02,21.69,0
-81.24,21.61,0
-80.46,21.54,0
-79.68,21.46,0
-78.91,21.37,0
-78.13,21.29,0
-77.35,21.19,0
-76.58,21.10,0
-75.80,21.00,0
-75.03,20.89,0
-74.26,20.78,0
-73.49,20.67,0
-72.72,20.55,0
-71.95,20.43,0
-71.19,20.30,0
-70.43,20.18,0
-69.66,20.04,0
-68.90,19.91,0
-68.14,19.76,0
-67.39,19.62,0
-66.63,19.47,0
-65.88,19.32,0
-65.12,19.16,0
-64.37,19.00,0
-134.69,17.47,0
-133.96,17.67,0
-133.23,17.88,0
-132.50,18.08,0
-131.76,18.27,0
-131.02,18.47,0
-130.28,18.65,0
-129.54,18.84,0
-128.80,19.02,0
-128.05,19.20,0
-127.30,19.37,0
-126.55,19.54,0
-125.80,19.71,0
-125.05,19.87,0
-124.29,20.03,0
-123.53,20.18,0
-122.77,20.33,0
-122.01,20.48,0
-121.25,20.62,0
-120.48,20.76,0
-119.72,20.89,0
-118.95,21.02,0
-118.18,21.15,0
-117.41,21.27,0
-116.63,21.39,0
-115.86,21.50,0
-115.09,21.61,0
-114.31,21.72,0
-113.53,21.82,0
-112.75,21.92,0
-111.97,22.01,0
-111.19,22.10,0
-110.41,22.18,0
-109.62,22.26,0
-108.84,22.34,0
-108.05,22.41,0
-107.27,22.48,0
-106.48,22.54,0
-105.69,22.60,0
-104.90,22.66,0
-104.11,22.71,0
-103.32,22.76,0
-102.53,22.80,0
-101.74,22.84,0
-100.95,22.87,0
-100.16,22.90,0
-99.36,22.93,0
-98.57,22.95,0
-97.78,22.97,0
-96.98,22.98,0
-96.19,22.99,0
-95.40,22.99,0
-94.60,22.99,0
-93.81,22.99,0
-93.02,22.98,0
-92.22,22.97,0
-91.43,22.95,0
-90.64,22.93,0
-89.85,22.90,0
-89.05,22.87,0
-88.26,22.84,0
-87.47,22.80,0
-86.68,22.76,0
-85.89,22.71,0
-85.10,22.66,0
-84.31,22.60,0
-83.52,22.55,0
-82.74,22.48,0
-81.95,22.41,0
-81.16,22.34,0
-80.38,22.26,0
-79.60,22.18,0
-78.81,22.10,0
-78.03,22.01,0
-77.25,21.92,0
-76.47,21.82,0
-75.69,21.72,0
-74.92,21.61,0
-74.14,21.50,0
-73.37,21.39,0
-72.59,21.27,0
-71.82,21.15,0
-71.05,21.02,0
-70.28,20.89,0
-69.52,20.76,0
-68.75,20.62,0
-67.99,20.48,0
-67.23,20.33,0
-66.47,20.18,0
-65.71,20.03,0
-64.95,19.87,0
-64.20,19.71,0
-134.91,18.16,0
-134.18,18.37,0
-133.44,18.57,0
-132.71,18.77,0
-131.97,18.97,0
-131.23,19.17,0
-130.48,19.36,0
-129.74,19.54,0
-128.99,19.73,0
-128.24,19.90,0
-127.49,20.08,0
-126.73,20.25,0
-125.98,20.42,0
-125.22,20.58,0
-124.46,20.74,0
-123.70,20.89,0
-122.93,21.04,0
-122.17,21.19,0
-121.40,21.34,0
-120.63,21.47,0
-119.86,21.61,0
-119.09,21.74,0
-118.31,21.87,0
-117.54,21.99,0
-116.76,22.11,0
-115.98,22.22,0
-115.20,22.33,0
-114.42,22.44,0
-113.64,22.54,0
-112.85,22.64,0
-112.07,22.73,0
-111.28,22.82,0
-110.50,22.91,0
-109.71,22.99,0
-108.92,23.07,0
-108.13,23.14,0
-107.34,23.21,0
-106.55,23.27,0
-105.75,23.33,0
-104.96,23.39,0
-104.17,23.44,0
-103.37,23.49,0
-102.57,23.53,0
-101.78,23.57,0
-100.98,23.60,0
-100.19,23.63,0
-99.39,23.66,0
-98.59,23.68,0
-97.79,23.70,0
-97.00,23.71,0
-96.20,23.72,0
-95.40,23.72,0
-94.60,23.72,0
-93.80,23.72,0
-93.01,23.71,0
-92.21,23.70,0
-91.41,23.68,0
-90.61,23.66,0
-89.82,23.63,0
-89.02,23.60,0
-88.22,23.57,0
-87.43,23.53,0
-86.63,23.49,0
-85.84,23.44,0
-85.04,23.39,0
-84.25,23.33,0
-83.46,23.27,0
-82.66,23.21,0
-81.87,23.14,0
-81.08,23.07,0
-80.29,22.99,0
-79.51,22.91,0
-78.72,22.82,0
-77.93,22.73,0
-77.15,22.64,0
-76.36,22.54,0
-75.58,22.44,0
-74.80,22.33,0
-74.02,22.22,0
-73.24,22.11,0
-72.46,21.99,0
-71.69,21.87,0
-70.91,21.74,0
-70.14,21.61,0
-69.37,21.47,0
-68.60,21.34,0
-67.84,21.19,0
-67.07,21.05,0
-66.31,20.89,0
-65.54,20.74,0
-64.78,20.58,0
-64.03,20.42,0
-135.13,18.85,0
-134.40,19.06,0
-133.66,19.27,0
-132.92,19.47,0
-132.18,19.67,0
-131.43,19.87,0
-130.68,20.06,0
-129.93,20.25,0
-129.18,20.43,0
-128.43,20.61,0
